08Х18Н10;08h18n10
12Х17;12h17
12Х18Н10Т;12h18n10t
12Х18Н10Т (AISI 321);12h18n10t
14Х17Н2;14h17n2
15Х1М1Ф;15h1m1f
15Х5М;15h5m
20Х13;20h13
20Х23Н18;20h23n18
25Х1МФ;25h1mf
30ХГСА;30hgsa
316L;316l
40Х;40h
40ХН2МА;40hn2ma
4Х5МФС;4h5mfs
5ХНМ;5hnm
9ХС;9hs
А5М;a5m
АД1Н;ad1n
Б16;b16
БРАЖМЦ10-3-1.5;brazhmtc10-3-1.5
БрО5Ц5С5;bro5tc5s5
Д16АТ;d16at
оц;otc
Р18;r18
Р6М5;r6m5
Ст08пс;st08ps
Ст20;st20
Ст20 ТУ 14-159-1128-2008;st20-tu
Ст3;st3
Ст35;st35
Ст45;st45
Х12МФ;h12mf
черн   э/с;es
ШХ15;shh15
ЭИ811 (12Х21Н5Т);ei811
ЭИ878 (12Х17Г9АН4);ei878
AISI 304;aisi-304
AISI 304 ВА;aisi-304
AISI 410 (20Х13);20h13
ЛИСТ;list
ЛЕНТА;lenta
ТРУБА;truba
КРУГ;krug
ШЕСТИГРАННИК;shestigrannik
Полоса;polosa
Поковка;pokovka
Баббит;babbit
СЕТКА;setka
КВАДРАТ;kvadrat
ПРОВОЛОКА;provoloka
